Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4666.95it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: dense)...
[DENSE] Sample 235/1561 | F1: 0.09 | J: 0 | Rec: 0
[DENSE] Sample 236/1561 | F1: 0.27 | J: 0 | Rec: 0
[DENSE] Sample 237/1561 | F1: 0.15 | J: 0 | Rec: 0
[DENSE] Sample 238/1561 | F1: 0.76 | J: 1 | Rec: 0
[DENSE] Sample 239/1561 | F1: 0.72 | J: 1 | Rec: 1
[DENSE] Sample 240/1561 | F1: 0.26 | J: 1 | Rec: 1
[DENSE] Sample 241/1561 | F1: 0.23 | J: 1 | Rec: 1
[DENSE] Sample 242/1561 | F1: 0.27 | J: 0 | Rec: 0
[DENSE] Sample 243/1561 | F1: 0.19 | J: 1 | Rec: 0
[DENSE] Sample 244/1561 | F1: 0.74 | J: 1 | Rec: 0
[DENSE] Sample 245/1561 | F1: 0.30 | J: 0 | Rec: 0
[DENSE] Sample 246/1561 | F1: 0.46 | J: 0 | Rec: 0
[DENSE] Sample 247/1561 | F1: 0.29 | J: 0 | Rec: 0
[DENSE] Sample 248/1561 | F1: 0.24 | J: 1 | Rec: 0
[DENSE] Sample 249/1561 | F1: 0.44 | J: 1 | Rec: 0
[DENSE] Sample 250/1561 | F1: 0.84 | J: 1 | Rec: 1
[DENSE] Sample 251/1561 | F1: 0.34 | J: 1 | Rec: 1
[DENSE] Sample 252/1561 | F1: 0.43 | J: 1 | Rec: 0
[DENSE] Sample 253/1561 | F1: 0.29 | J: 0 | Rec: 0
[DENSE] Sample 254/1561 | F1: 0.35 | J: 1 | Rec: 1
[DENSE] Sample 255/1561 | F1: 0.34 | J: 1 | Rec: 0
[DENSE] Sample 256/1561 | F1: 0.41 | J: 1 | Rec: 0
[DENSE] Sample 257/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 258/1561 | F1: 0.36 | J: 0 | Rec: 0
[DENSE] Sample 259/1561 | F1: 0.47 | J: 0 | Rec: 0
[DENSE] Sample 260/1561 | F1: 0.29 | J: 0 | Rec: 0
[DENSE] Sample 261/1561 | F1: 0.67 | J: 1 | Rec: 0
[DENSE] Sample 262/1561 | F1: 0.25 | J: 1 | Rec: 1
[DENSE] Sample 263/1561 | F1: 0.24 | J: 1 | Rec: 0
[DENSE] Sample 264/1561 | F1: 0.29 | J: 1 | Rec: 0
[DENSE] Sample 265/1561 | F1: 0.27 | J: 1 | Rec: 0
[DENSE] Sample 266/1561 | F1: 0.63 | J: 1 | Rec: 1
