Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4257.16it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: hybrid)...
[HYBRID] Sample 311/1561 | F1: 0.53 | J: 0 | Rec: 1
[HYBRID] Sample 312/1561 | F1: 0.39 | J: 1 | Rec: 1
[HYBRID] Sample 313/1561 | F1: 0.52 | J: 1 | Rec: 1
[HYBRID] Sample 314/1561 | F1: 0.42 | J: 1 | Rec: 1
[HYBRID] Sample 315/1561 | F1: 0.43 | J: 1 | Rec: 1
[HYBRID] Sample 316/1561 | F1: 0.58 | J: 1 | Rec: 1
[HYBRID] Sample 317/1561 | F1: 0.45 | J: 1 | Rec: 1
[HYBRID] Sample 318/1561 | F1: 0.55 | J: 1 | Rec: 1
[HYBRID] Sample 319/1561 | F1: 0.49 | J: 1 | Rec: 1
[HYBRID] Sample 320/1561 | F1: 0.42 | J: 1 | Rec: 1
[HYBRID] Sample 321/1561 | F1: 0.49 | J: 1 | Rec: 1
[HYBRID] Sample 322/1561 | F1: 0.31 | J: 1 | Rec: 1
[HYBRID] Sample 323/1561 | F1: 0.43 | J: 1 | Rec: 1
